issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010637,151,1,5,1,7.0,Small,Odd,,20260818101010637
20260818101010636,214,2,1,4,7.0,Small,Odd,,20260818101010636
20260818101010635,354,3,5,4,12.0,Big,Even,,20260818101010635
20260818101010634,564,5,6,4,15.0,Big,Odd,,20260818101010634
20260818101010633,655,6,5,5,16.0,Big,Even,,20260818101010633
20260818101010632,654,6,5,4,15.0,Big,Odd,,20260818101010632
20260818101010631,243,2,4,3,9.0,Small,Odd,,20260818101010631
20260818101010630,144,1,4,4,9.0,Small,Odd,,20260818101010630
20260818101010629,114,1,1,4,6.0,Small,Even,,20260818101010629
20260818101010628,132,1,3,2,6.0,Small,Even,,20260818101010628
20260818101010627,112,1,1,2,4.0,Small,Even,,20260818101010627
20260818101010626,611,6,1,1,8.0,Small,Even,,20260818101010626
20260818101010625,324,3,2,4,9.0,Small,Odd,,20260818101010625
20260818101010624,524,5,2,4,11.0,Big,Odd,,20260818101010624
20260818101010623,116,1,1,6,8.0,Small,Even,,20260818101010623
20260818101010622,545,5,4,5,14.0,Big,Even,,20260818101010622
20260818101010621,562,5,6,2,13.0,Big,Odd,,20260818101010621
20260818101010620,135,1,3,5,9.0,Small,Odd,,20260818101010620
20260818101010619,166,1,6,6,13.0,Big,Odd,,20260818101010619
20260818101010618,461,4,6,1,11.0,Big,Odd,,20260818101010618
20260818101010617,314,3,1,4,8.0,Small,Even,,20260818101010617
20260818101010616,245,2,4,5,11.0,Big,Odd,,20260818101010616
20260818101010615,246,2,4,6,12.0,Big,Even,,20260818101010615
20260818101010614,152,1,5,2,8.0,Small,Even,,20260818101010614
20260818101010613,121,1,2,1,4.0,Small,Even,,20260818101010613
20260818101010612,463,4,6,3,13.0,Big,Odd,,20260818101010612
20260818101010611,135,1,3,5,9.0,Small,Odd,,20260818101010611
20260818101010610,552,5,5,2,12.0,Big,Even,,20260818101010610
20260818101010609,514,5,1,4,10.0,Small,Even,,20260818101010609
20260818101010608,155,1,5,5,11.0,Big,Odd,,20260818101010608
20260818101010607,635,6,3,5,14.0,Big,Even,,20260818101010607
20260818101010606,331,3,3,1,7.0,Small,Odd,,20260818101010606
20260818101010605,151,1,5,1,7.0,Small,Odd,,20260818101010605
20260818101010604,664,6,6,4,16.0,Big,Even,,20260818101010604
20260818101010603,645,6,4,5,15.0,Big,Odd,,20260818101010603
20260818101010602,452,4,5,2,11.0,Big,Odd,,20260818101010602
20260818101010601,156,1,5,6,12.0,Big,Even,,20260818101010601
20260818101010600,352,3,5,2,10.0,Small,Even,,20260818101010600
20260818101010599,256,2,5,6,13.0,Big,Odd,,20260818101010599
20260818101010598,565,5,6,5,16.0,Big,Even,,20260818101010598
20260818101010597,542,5,4,2,11.0,Big,Odd,,20260818101010597
20260818101010596,362,3,6,2,11.0,Big,Odd,,20260818101010596
20260818101010595,366,3,6,6,15.0,Big,Odd,,20260818101010595
20260818101010594,545,5,4,5,14.0,Big,Even,,20260818101010594
20260818101010593,432,4,3,2,9.0,Small,Odd,,20260818101010593
20260818101010592,331,3,3,1,7.0,Small,Odd,,20260818101010592
20260818101010591,324,3,2,4,9.0,Small,Odd,,20260818101010591
20260818101010590,454,4,5,4,13.0,Big,Odd,,20260818101010590
20260818101010589,625,6,2,5,13.0,Big,Odd,,20260818101010589
20260818101010588,131,1,3,1,5.0,Small,Odd,,20260818101010588
20260818101010587,326,3,2,6,11.0,Big,Odd,,20260818101010587
20260818101010586,234,2,3,4,9.0,Small,Odd,,20260818101010586
20260818101010585,654,6,5,4,15.0,Big,Odd,,20260818101010585
20260818101010584,334,3,3,4,10.0,Small,Even,,20260818101010584
20260818101010583,261,2,6,1,9.0,Small,Odd,,20260818101010583
20260818101010582,235,2,3,5,10.0,Small,Even,,20260818101010582
20260818101010581,135,1,3,5,9.0,Small,Odd,,20260818101010581
20260818101010580,333,3,3,3,9.0,Small,Odd,,20260818101010580
20260818101010543,445,4,4,5,13.0,Big,Odd,,20260818101010543
